case_id,category,symptom_description,query,rank,title,abstract,conditions,overall_status,article_url,automatic_relevance_0_to_2,latency_seconds
001,Common acute symptoms,I have had a fever and headache since last night.,fever headache,1,Immunogenicity and Safety of a Booster Dose of the SpikoGen Vaccine in Kidney Transplant Recipients After Two Doses of Sinopharm Vaccine,"This is an open-label, single-arm clinical trial designed to evaluate the immunogenicity and safety of a booster dose of an adjuvanted recombinant SARS-CoV-2 spike protein subunit vaccine (SpikoGen) produced by CinnaGen Co. in kidney transplant recipients after two doses of Sinopharm's inactivated virus vaccine. A total of 100 adult individuals receive a single dose of the SpikoGen COVID-19 vaccine at 1 to 3 months after the second dose of the Sinopharm COVID-19 vaccine. The injection is given in the deltoid muscle of the non-dominant arm. For immunogenicity assessments, blood samples will be collected one month after the booster injection. For safety assessments, all participants will be followed up for one month.

Study hypotheses include:

1. A booster dose of the SpikoGen COVID-19 vaccine induces strong immunogenicity against SARS-CoV-2 in adult kidney transplant recipients who were fully vaccinated with Sinopharm COVID-19 vaccine.
2. A booster dose of the SpikoGen COVID-19 vaccine is safe and tolerable in adult kidney transplant recipients who were fully vaccinated with Sinopharm COVID-19 vaccine.",COVID-19,COMPLETED,https://clinicaltrials.gov/study/NCT05285384,0,0.8936
001,Common acute symptoms,I have had a fever and headache since last night.,fever headache,2,"A Phase I Study of an HIV Vaccine in Healthy, HIV Uninfected Adults",The purpose of this study is to assess the safety and tolerability of Modified Vaccinia Ankara (MVA) Mosaic vaccine in healthy adult participants.,Healthy,COMPLETED,https://clinicaltrials.gov/study/NCT02218125,0,0.8936
001,Common acute symptoms,I have had a fever and headache since last night.,fever headache,3,A Trial to Evaluate the Safety and Systems Biology Response of Ebolavirus Zaire Vaccine (ChAd3-EBO-Z),"This initial, proof of concept study will focus on identifying significant differences in response to the Ebolavirus Zaire vaccine (ChAd3-EBO-Z) when administered with placebo, MVA-BN(R)-Filo, or ChAd3-EBO-Z boosters after 8 days. All 60 participants will receive the ChAd3-EBO-Z vaccine and then randomized into each booster group (20 receiving each type of booster). Subjects will be followed-up for 6 months to monitor for safety outcomes and efficacy measures. There is no formal hypothesis for this study. The primary objective of this study is to assess the safety and reactogenicity of study products by study group when administered IM to healthy adults.",Ebola Disease; Immunisation,COMPLETED,https://clinicaltrials.gov/study/NCT03583606,0,0.8936
001,Common acute symptoms,I have had a fever and headache since last night.,fever headache,4,"Study on the Usage, Dosing, Tolerability, and Effectiveness of Kaletra Tablet","The objective of this study is to observe and collect data on the usage, dosing, tolerability, and effectiveness of Kaletra (lopinavir/ritonavir) tablets in human immunodeficiency virus (HIV)-infected patients. In some patients, the study is to show the impact on tolerability of changing therapy to Kaletra tablets from other regimens.",Human Immunodeficiency Virus,COMPLETED,https://clinicaltrials.gov/study/NCT01097655,0,0.8936
001,Common acute symptoms,I have had a fever and headache since last night.,fever headache,5,Oral Side Effects of COVID-19 Vaccine,"This study is a multicenter cross-sectional survey-based study conducted in four European countries (Czech Republic, Germany, Slovak Republic, and Turkey). An online questionnaire will be utilized to collect data from volunteer subjects following the STROBE reporting guidelines of cross-sectional studies.",Oral Manifestations; Covid19; Vaccine Adverse Reaction,UNKNOWN,https://clinicaltrials.gov/study/NCT04706156,0,0.8936
002,Common acute symptoms,My throat hurts and I have a fever.,sore throat fever,1,Therapeutic Value of Sirolimus in Refractory Adult-Onset Still's Disease,"This study aims to further evaluate the anti-inflammatory effects of the mTOR inhibitor sirolimus in patients with adult-onset Still's disease (AOSD), and to verify whether it can reduce inflammation and control disease activity by restoring ZFP36L2 expression and promoting the degradation of inflammatory cytokine mRNAs. A total of three patients with refractory AOSD will be enrolled, defined as those showing no significant improvement after treatment with glucocorticoids at 1 mg/kg, or experiencing relapse during tapering of glucocorticoids to 15 mg/day. On the basis of their existing therapy, patients will receive oral sirolimus at a dose of two capsules per day, one in the morning and one in the evening. On the day prior to initiating sirolimus and at weeks 4, 8, and 12 of treatment, 10 ml of peripheral blood will be collected by trained medical staff, and neutrophils will be isolated within 2 hours to assess ZFP36L2 expression levels. Throughout treatment, patients' clinical manifestations, including fever, rash, and joint pain, will be monitored, and dynamic changes in multiple inflammation-related markers will be measured in peripheral blood at weeks 4, 8, and 12. These include C-reactive protein (CRP), erythrocyte sedimentation rate (ESR), serum ferritin, soluble interleukin-2 receptor (sIL-2R), and a panel of cytokines. Finally, correlations among sirolimus treatment, ZFP36L2 expression, inflammatory responses, and disease activity will be analyzed to explore its potential therapeutic mechanisms in AOSD.",Adult-Onset Still's Disease,ACTIVE_NOT_RECRUITING,https://clinicaltrials.gov/study/NCT07151157,1,0.8043
002,Common acute symptoms,My throat hurts and I have a fever.,sore throat fever,2,AutoInflammatory Disease Alliance Registry (AIDA),"Autoinflammatory diseases (AID) are clinical entities characterized by recurrent inflammatory attacks in absence of infection, neoplasm or deregulation of the adaptive immune system. Among them, hereditary periodic syndromes, also known as monogenic AID, represent the prototype of this disease group, caused by mutations in genes involved in the regulation of innate immunity, inflammation and cell death. Based on recent experimental acquisitions in the field of monogenic AID, several immunologic disorders have been reclassified as polygenic/multifactorial AID, sharing pathogenetic and clinical features with hereditary periodic fevers. This has paved the way to new treatment targets for patients suffering from rare diseases of unknown origin, including Behçet's disease, Still disease, Schnitzler's disease, PFAPA (periodic fever, aphthous stomatitis, pharyngitis and cervical adenitis) syndrome, chronic recurrent multifocal osteomyelitis (CRMO), non-infectious uveitis and scleritis. Gathering information on such rare conditions is made difficult by the small number of patients, along with the difficulty of obtaining an accurate diagnosis in non-specialized clinical settings.

In this context, the AIDA project promotes international collaboration among clinical centres to develop a permanent registry aimed at collecting demographic, genetic, clinical and therapeutic data of patients affected by monogenic and polygenic AID, in order to expand the current knowledge of these rare conditions.","Hereditary Autoinflammatory Diseases; Schnitzler Syndrome; Behcet Syndrome; PFAPA Syndrome; Still Disease; Autoinflammatory Syndrome, Unspecified; Uveitis; Scleritis; Vexas Syndrome; Spondyloarthritis (SpA); Castleman Disease",RECRUITING,https://clinicaltrials.gov/study/NCT05200715,1,0.8043
002,Common acute symptoms,My throat hurts and I have a fever.,sore throat fever,3,Observational Study of Infants Fed on DHA (Breast Source or Milk Formula Source ) and Its Effects on Covid-19 Infected Infants and Severity,"Observational Study of Infants Fed on DHA (Breast Source or Milk Formula Source ) and Its Effect on COVID-19 Severity

* Amr kamel khalil Ahmed ( drmedahmed@gmail.com ) Director of tuberculosis program Ghubera, public health department ,First health cluster ,Ministry of health , Riyadh, Saudia Arabia https://orcid.org/0000-0003-3477-236X
* Mahmoud Elkazzaz ( mahmoudramadan2051@yahoo.com ) Department of chemistry and biochemistry, Faculty of Science, Damietta University, Egypt https://orcid.org/0000-0003-3703-520X

Abstract

The novel SARS-CoV-2, which causes the disease called COVID-19, has rapidly spread across the globe. A striking and consistent observation has been the difference in severity of COVID-19 at different ages: severity, the need for hospitalization and mortality rise steeply with older age while severe disease and death are relatively rare in children and young adults. Most infants and children infected with SARS-CoV-2 are asymptomatic or have mild symptoms, most commonly fever, cough, pharyngitis, gastrointestinal symptoms and changes in sense of smell or taste. Whether infants and children are also less often infected by SARS-CoV-2 is an ongoing debate. Large epidemiological studies suggest that infants and children comprise only 1 to 2% of all SARS-CoV-2 cases. However, these numbers heavily depend on testing criteria and, in many reports, testing was done only in individuals who were symptomatic or required hospitalization, which is less often the case for children. Some studies suggest that infants and children are just as likely as adults to become infected with SARS-CoV-2.9 However, more recent studies report that children are less likely to get infected after contact with a SARS-CoV-2-positive individual.10-14 It has been suggested that children and adolescents have similar viral loads and may therefore be as likely to transmit SARS-CoV-2 as adults. In addition, the viral load may be similar in asymptomatic and symptomatic individuals. However, reassuringly, transmission in schools from children either to other children or to adults has been rare. The observation that children are less often infected with SARS-CoV-2 and that they have less severe symptoms is similar to that reported for SARS-CoV-1 and Middle East respiratory syndrome (MERS)-CoV. However, this pattern is strikingly different to that for infection with most other respiratory viruses (eg, respiratory syncytial virus (RSV), metapneumovirus, parainfluenza or influenza viruses), for which the prevalence and severity are both higher in children.Dr Amr kamel khalil Ahmed and Dr. Mahmoud Elkazzaz, the lead investigators of this observational study , recently published a preprint that demonstrated Docosahexaenoic acid (DHA) had a high binding affinity and greatest interactions with ACE2 active sites, as well as a moderate binding affinity and moderate interactions with the active sites of IL-6. The Docosahexaenoic acid (DHA) interacts with different active sites of IL6 and ACE2 which are involved in direct or indirect contacts with the ACE2 and IL-6 receptors which might act as potential blockers of functional ACE2 and IL-6 receptor complex. Docosahexaenoic acid (DHA) was detected in abundance in breast milk and other algal sources milk supplement used for newborns and children's feeding. As a result, we believe that docosahexaenoic acid (DHA) may protect children and newborns thorough competing with COVID-19 for ACE2 receptors and inhibiting IL-6 activity and may possibly help them avoid a cytokine storm and save their lives through inhibiting IL-6 and preventing SARS-CoV-2 RBD attachment to ACE2","DHA as Antioxidant Anti-inflammatory Immunomodulation , Overcome Cytokine Storm",UNKNOWN,https://clinicaltrials.gov/study/NCT05071690,1,0.8043
002,Common acute symptoms,My throat hurts and I have a fever.,sore throat fever,4,A Comparison Study Between the Fixed Dose Triple Combination of Fluticasone Furoate/ Umeclidinium/ Vilanterol Trifenatate (FF/UMEC/VI) With Budesonide/Formoterol in Subjects With Chronic Obstructive Pulmonary Disease (COPD),"This is a phase IIIa, randomised, double-blind, double-dummy, parallel group multicenter study evaluating once daily FF/UMEC/VI (100 microgram \[mcg\]/62.5 mcg/25 mcg) inhalation powder versus twice daily budesonide/formoterol (400 mcg/12 mcg). The primary purpose of this study is to demonstrate improvements in lung function and health status for subjects treated with FF/UMEC/VI compared with budesonide/formoterol for 24 weeks. Once-daily 'closed' triple therapy of a Inhaled Corticosteroid/ Long-acting Muscarinic Receptor Antagonists/ Long Acting Beta-Agonist (ICS/LAMA/LABA) combination FF/UMEC/VI (100 mcg/62.5 mcg/25 mcg) in a single device is being developed with the aim of providing a new treatment option for the management of advanced (GOLD Group D) COPD which will reduce the exacerbation frequency, allow for a reduced burden of polypharmacy, convenience, and increase the potential for improvement in lung function, Health Related Quality of Life (HRQoL) and symptom control over established dual/monotherapies.

Subjects meeting all inclusion/exclusion criteria and who have successfully completed all protocol procedures at the Screening Visit will enter the two-week run-in period. Following the run-in period, eligible subjects will be randomised (1:1) to one of the following double-blind treatment groups: FF/UMEC/VI 100 mcg/62.5 mcg/25 mcg via the ELLIPTA™ dry powder inhaler (DPI) once daily in the morning and placebo via reservoir inhaler twice daily OR Budesonide/formoterol 400 mcg/12 mcg via reservoir inhaler twice daily and placebo via the ELLIPTA DPI once daily in the morning.

The target enrollment is 1800 randomised subjects at approximately 200 study centers globally. The total duration of subject participation will be approximately 27 weeks, consisting of a 2-week run-in period, 24-week treatment period and a 1-week follow-up period. Subjects will run-in on their existing COPD medications for 2 weeks and in addition will be provided with short acting albuterol/salbutamol to be used on an as-needed basis (rescue medication) throughout the study. Subjects will discontinue all existing COPD medications during the randomised treatment period but may continue their study supplied rescue albuterol/salbutamol. A sub-set of approximately 400 subjects will remain on blinded study treatment for up to a total of 52 weeks to provide additional long term safety data.

ELLIPTA and NUBULES are a trade marks of the GlaxoSmithKline Group of Companies. Other company or product names mentioned herein may be the property of their respective owners","Pulmonary Disease, Chronic Obstructive",COMPLETED,https://clinicaltrials.gov/study/NCT02345161,0,0.8043
002,Common acute symptoms,My throat hurts and I have a fever.,sore throat fever,5,Study of ZSP1273 in Patients With Acute Uncomplicated Influenza A,"The purpose of this study is to evaluate the antiviral effect, as measured by the time to alleviation of influenza symptoms and viral titer in nasopharyngeal secretions in adults with acute uncomplicated influenza A following administration of ZSP1273.",Influenza A,COMPLETED,https://clinicaltrials.gov/study/NCT04024137,0,0.8043
