case_id,category,symptom_description,gold_standard_symptoms,predicted_symptoms,observed_error,likely_cause
002,Common acute symptoms,My throat hurts and I have a fever.,sore throat; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
003,Common acute symptoms,I feel nauseous and I have been vomiting today.,nausea; vomiting,nausea,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
006,Common acute symptoms,"I have a runny nose, cough, and mild fever.",runny nose; cough; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
008,Common acute symptoms,I have chills and a high temperature.,chills; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
009,Common acute symptoms,I feel dizzy when I stand up.,dizziness,dizzy,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
012,Common acute symptoms,"Since yesterday, my throat hurts and I have a fever.",sore throat; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
013,Common acute symptoms,"Since yesterday, i feel nauseous and I have been vomiting today.",nausea; vomiting,nausea,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
016,Common acute symptoms,"Since yesterday, i have a runny nose, cough, and mild fever.",runny nose; cough; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
018,Common acute symptoms,"Since yesterday, i have chills and a high temperature.",chills; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
019,Common acute symptoms,"Since yesterday, i feel dizzy when I stand up.",dizziness,dizzy,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
022,Common acute symptoms,My throat hurts and I am experiencing a fever.,sore throat; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
023,Common acute symptoms,I feel nauseous and I am experiencing been vomiting today.,nausea; vomiting,nausea,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
026,Common acute symptoms,"I am experiencing a runny nose, cough, and mild fever.",runny nose; cough; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
028,Common acute symptoms,I am experiencing chills and a high temperature.,chills; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
029,Common acute symptoms,I feel dizzy when I stand up.,dizziness,dizzy,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
032,Common acute symptoms,My throat hurts and I have a fever.,sore throat; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
033,Common acute symptoms,Recently I feel nauseous and I have been vomiting today.,nausea; vomiting,nausea,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
036,Common acute symptoms,"I have a runny nose, cough, and mild fever.",runny nose; cough; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
038,Common acute symptoms,I have chills and a high temperature.,chills; fever,fever,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
039,Common acute symptoms,Recently I feel dizzy when I stand up.,dizziness,dizzy,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
041,Chronic-disease-related symptoms,My legs are swollen and I feel tired all the time.,edema; fatigue,fatigue,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
042,Chronic-disease-related symptoms,I feel thirsty often and I urinate frequently.,excessive thirst; frequent urination,thirsty; urinate frequently,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
043,Chronic-disease-related symptoms,I have been very tired and weak for several weeks.,fatigue; weakness,fatigue,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
044,Chronic-disease-related symptoms,My joints hurt every morning.,joint pain,joints hurt,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
048,Chronic-disease-related symptoms,My feet are swollen and I feel short of breath while walking.,edema; dyspnea,edema; short of breath,Predicted symptom set did not exactly match the gold-standard set.,"Possible lexicon gap, symptom normalization issue, LLM over-extraction, or ambiguous wording."
