case_id,symptom_description,category,gold_standard_symptoms
001,I have had a fever and headache since last night.,Common acute symptoms,fever; headache
002,My throat hurts and I have a fever.,Common acute symptoms,sore throat; fever
003,I feel nauseous and I have been vomiting today.,Common acute symptoms,nausea; vomiting
004,I have stomach pain with nausea.,Common acute symptoms,abdominal pain; nausea
005,I woke up with headache and body pain.,Common acute symptoms,headache; joint pain
006,"I have a runny nose, cough, and mild fever.",Common acute symptoms,runny nose; cough; fever
007,My eyes are watery and I keep sneezing.,Common acute symptoms,watery eyes; sneezing
008,I have chills and a high temperature.,Common acute symptoms,chills; fever
009,I feel dizzy when I stand up.,Common acute symptoms,dizziness
010,I have pain in my lower back after lifting a box.,Common acute symptoms,lower back pain
011,"Since yesterday, i have had a fever and headache since last night.",Common acute symptoms,fever; headache
012,"Since yesterday, my throat hurts and I have a fever.",Common acute symptoms,sore throat; fever
013,"Since yesterday, i feel nauseous and I have been vomiting today.",Common acute symptoms,nausea; vomiting
014,"Since yesterday, i have stomach pain with nausea.",Common acute symptoms,abdominal pain; nausea
015,"Since yesterday, i woke up with headache and body pain.",Common acute symptoms,headache; joint pain
016,"Since yesterday, i have a runny nose, cough, and mild fever.",Common acute symptoms,runny nose; cough; fever
017,"Since yesterday, my eyes are watery and I keep sneezing.",Common acute symptoms,watery eyes; sneezing
018,"Since yesterday, i have chills and a high temperature.",Common acute symptoms,chills; fever
019,"Since yesterday, i feel dizzy when I stand up.",Common acute symptoms,dizziness
020,"Since yesterday, i have pain in my lower back after lifting a box.",Common acute symptoms,lower back pain
021,I am experiencing had a fever and headache since last night.,Common acute symptoms,fever; headache
022,My throat hurts and I am experiencing a fever.,Common acute symptoms,sore throat; fever
023,I feel nauseous and I am experiencing been vomiting today.,Common acute symptoms,nausea; vomiting
024,I am experiencing stomach pain with nausea.,Common acute symptoms,abdominal pain; nausea
025,I woke up with headache and body pain.,Common acute symptoms,headache; joint pain
026,"I am experiencing a runny nose, cough, and mild fever.",Common acute symptoms,runny nose; cough; fever
027,My eyes are watery and I keep sneezing.,Common acute symptoms,watery eyes; sneezing
028,I am experiencing chills and a high temperature.,Common acute symptoms,chills; fever
029,I feel dizzy when I stand up.,Common acute symptoms,dizziness
030,I am experiencing pain in my lower back after lifting a box.,Common acute symptoms,lower back pain
031,I have had a fever and headache since last night.,Common acute symptoms,fever; headache
032,My throat hurts and I have a fever.,Common acute symptoms,sore throat; fever
033,Recently I feel nauseous and I have been vomiting today.,Common acute symptoms,nausea; vomiting
034,I have stomach pain with nausea.,Common acute symptoms,abdominal pain; nausea
035,I woke up with headache and body pain.,Common acute symptoms,headache; joint pain
036,"I have a runny nose, cough, and mild fever.",Common acute symptoms,runny nose; cough; fever
037,My eyes are watery and I keep sneezing.,Common acute symptoms,watery eyes; sneezing
038,I have chills and a high temperature.,Common acute symptoms,chills; fever
039,Recently I feel dizzy when I stand up.,Common acute symptoms,dizziness
040,I have pain in my lower back after lifting a box.,Common acute symptoms,lower back pain
041,My legs are swollen and I feel tired all the time.,Chronic-disease-related symptoms,edema; fatigue
042,I feel thirsty often and I urinate frequently.,Chronic-disease-related symptoms,excessive thirst; frequent urination
043,I have been very tired and weak for several weeks.,Chronic-disease-related symptoms,fatigue; weakness
044,My joints hurt every morning.,Chronic-disease-related symptoms,joint pain
045,I have trouble sleeping almost every night.,Chronic-disease-related symptoms,insomnia
046,I feel low mood and have poor sleep.,Chronic-disease-related symptoms,depression; insomnia
047,I have ongoing lower back pain.,Chronic-disease-related symptoms,lower back pain
048,My feet are swollen and I feel short of breath while walking.,Chronic-disease-related symptoms,edema; dyspnea
049,I get frequent headaches during work.,Chronic-disease-related symptoms,headache
050,I have abdominal pain after meals for many weeks.,Chronic-disease-related symptoms,abdominal pain
051,"Since yesterday, my legs are swollen and I feel tired all the time.",Chronic-disease-related symptoms,edema; fatigue
052,"Since yesterday, i feel thirsty often and I urinate frequently.",Chronic-disease-related symptoms,excessive thirst; frequent urination
053,"Since yesterday, i have been very tired and weak for several weeks.",Chronic-disease-related symptoms,fatigue; weakness
054,"Since yesterday, my joints hurt every morning.",Chronic-disease-related symptoms,joint pain
055,"Since yesterday, i have trouble sleeping almost every night.",Chronic-disease-related symptoms,insomnia
056,"Since yesterday, i feel low mood and have poor sleep.",Chronic-disease-related symptoms,depression; insomnia
057,"Since yesterday, i have ongoing lower back pain.",Chronic-disease-related symptoms,lower back pain
058,"Since yesterday, my feet are swollen and I feel short of breath while walking.",Chronic-disease-related symptoms,edema; dyspnea
059,"Since yesterday, i get frequent headaches during work.",Chronic-disease-related symptoms,headache
060,"Since yesterday, i have abdominal pain after meals for many weeks.",Chronic-disease-related symptoms,abdominal pain
061,My legs are swollen and I feel tired all the time.,Chronic-disease-related symptoms,edema; fatigue
062,I feel thirsty often and I urinate frequently.,Chronic-disease-related symptoms,excessive thirst; frequent urination
063,I am experiencing been very tired and weak for several weeks.,Chronic-disease-related symptoms,fatigue; weakness
064,My joints hurt every morning.,Chronic-disease-related symptoms,joint pain
065,I am experiencing trouble sleeping almost every night.,Chronic-disease-related symptoms,insomnia
066,I feel low mood and have poor sleep.,Chronic-disease-related symptoms,depression; insomnia
067,I am experiencing ongoing lower back pain.,Chronic-disease-related symptoms,lower back pain
068,My feet are swollen and I feel short of breath while walking.,Chronic-disease-related symptoms,edema; dyspnea
069,I get frequent headaches during work.,Chronic-disease-related symptoms,headache
070,I am experiencing abdominal pain after meals for many weeks.,Chronic-disease-related symptoms,abdominal pain
071,My legs are swollen and Recently I feel tired all the time.,Chronic-disease-related symptoms,edema; fatigue
072,Recently I feel thirsty often and I urinate frequently.,Chronic-disease-related symptoms,excessive thirst; frequent urination
073,I have been very tired and weak for several weeks.,Chronic-disease-related symptoms,fatigue; weakness
074,My joints hurt every morning.,Chronic-disease-related symptoms,joint pain
075,I have trouble sleeping almost every night.,Chronic-disease-related symptoms,insomnia
076,"I just feel off, dizzy, and weak.",Colloquial symptom descriptions,dizziness; weakness
077,My head is pounding and I feel hot.,Colloquial symptom descriptions,headache; fever
078,I feel like throwing up.,Colloquial symptom descriptions,vomiting
079,I cannot catch my breath.,Colloquial symptom descriptions,dyspnea
080,My chest feels tight.,Colloquial symptom descriptions,chest pain
081,I have no energy and feel drained.,Colloquial symptom descriptions,fatigue
082,My belly is hurting badly.,Colloquial symptom descriptions,abdominal pain
083,I feel down and cannot sleep well.,Colloquial symptom descriptions,depression; insomnia
084,My body aches all over.,Colloquial symptom descriptions,joint pain
085,I feel shaky and lightheaded.,Colloquial symptom descriptions,dizziness; weakness
086,"Since yesterday, i just feel off, dizzy, and weak.",Colloquial symptom descriptions,dizziness; weakness
087,"Since yesterday, my head is pounding and I feel hot.",Colloquial symptom descriptions,headache; fever
088,"Since yesterday, i feel like throwing up.",Colloquial symptom descriptions,vomiting
089,"Since yesterday, i cannot catch my breath.",Colloquial symptom descriptions,dyspnea
090,"Since yesterday, my chest feels tight.",Colloquial symptom descriptions,chest pain
091,"Since yesterday, i have no energy and feel drained.",Colloquial symptom descriptions,fatigue
092,"Since yesterday, my belly is hurting badly.",Colloquial symptom descriptions,abdominal pain
093,"Since yesterday, i feel down and cannot sleep well.",Colloquial symptom descriptions,depression; insomnia
094,"Since yesterday, my body aches all over.",Colloquial symptom descriptions,joint pain
095,"Since yesterday, i feel shaky and lightheaded.",Colloquial symptom descriptions,dizziness; weakness
096,"I just feel off, dizzy, and weak.",Colloquial symptom descriptions,dizziness; weakness
097,My head is pounding and I feel hot.,Colloquial symptom descriptions,headache; fever
098,I feel like throwing up.,Colloquial symptom descriptions,vomiting
099,I cannot catch my breath.,Colloquial symptom descriptions,dyspnea
100,My chest feels tight.,Colloquial symptom descriptions,chest pain
101,I am experiencing no energy and feel drained.,Colloquial symptom descriptions,fatigue
102,My belly is hurting badly.,Colloquial symptom descriptions,abdominal pain
103,I feel down and cannot sleep well.,Colloquial symptom descriptions,depression; insomnia
104,My body aches all over.,Colloquial symptom descriptions,joint pain
